PY,WG,MPS,Yale,TY,1,2,3,4,Other1,JT,HK,Other2,Minnan,Other3
a,a,a,a,a,a,ar,aa,ah,,,,,,
ai,ai,ai,ai,ai,ai,air,ae,ay,,,,,,
an,an,an,an,an,an,arn,aan,ann,,,,,,
ao,ao,au,au,ao,au,aur,ao,aw,,,,,,
dei,tei,dei,dei,dei,dei,deir,deei,dey,,,,,,
den,ten,den,den,den,den,dern,deen,denn,,,,,,
diang,tiang,diang,dyang,diang,diang,dyang,deang,dianq,,,,,,
ei,ei,ei,ei,ei,ei,eir,eei,ey,,,,,,
en,en,en,en,en,en,ern,een,enn,,,,,,
fa,fa,fa,fa,fa,fa,far,faa,fah,,,,,,
fei,fei,fei,fei,fei,fei,feir,feei,fey,,,,,,
fen,fen,fen,fen,fen,fen,fern,feen,fenn,,,,,,
fou,fou,fou,fou,fou,fou,four,foou,fow,,,,,,
gei,kei,gei,gei,gei,gei,geir,geei,gey,,,,,,
han,han,han,han,han,han,harn,haan,hann,,hon,hon,,han,han
hang,hang,hang,hang,hang,hang,harng,haang,hanq,,,,,,
hei,hei,hei,hei,hei,hei,heir,heei,hey,,,,,,
hen,hen,hen,hen,hen,hen,hern,heen,henn,,,,,,
hua,hua,hua,hwa,hua,hua,hwa,hoa,huah,,,,,,
huai,huai,huai,hwai,huai,huai,hwai,hoai,huay,,,,,,
hui,hui,huei,hwei,huei,huei,hwei,hoei,huey,,,,,,
hun,hun,huen,hwen,hun,huen,hwen,hoen,huenn,,,,,,
huo,huo,huo,hwo,huo,huo,hwo,huoo,huoh,,,,,,
la,la,la,la,la,lha,la,laa,lah,,,,,,
lan,lan,lan,lan,lan,lhan,lan,laan,lann,,,,,,
lia,lia,lia,lya,lia,lhia,lia,lea,liah,,,,,,
lian,lien,lian,lyan,lian,lhian,lian,lean,liann,,,,,,
lin,lin,lin,lin,lin,lhin,lin,liin,linn,,lam,lam,lum,lim,liem
ling,ling,ling,ling,ling,lhing,ling,liing,linq,,,,,,
luan,luan,luan,lwan,luan,lhuan,luan,loan,luann,,,,,,
lue,lueh,liue,lywe,lyue,lhiue,liue,leue,liueh,,,,,,
ma,ma,ma,ma,ma,mha,ma,maa,mah,,maa,ma,mah,be,bhay
mai,mai,mai,mai,mai,mhai,mai,mae,may,,mak,mak,muk,beh,bhe
me,me,me,me,me,me,mer,mee,meh,,,,,,
mei,mei,mei,mei,mei,mhei,mei,meei,mey,,,,,,
men,men,men,men,men,mhen,men,meen,menn,,,,,,
mi,mi,mi,mi,mi,mhi,mi,mii,mih,,,,,,
